Tai khoan,Mat khau,Ho ten dem,Ten,Gioi tinh,MSSV,Ngay,Thang,Nam,CCCD
nguyenthithuduyen,nguyenthithuduyen3289,Nguyen Thi Thu,Duyen,Nu,1712091,5,11,1999,532803289
trinhvuhoang,trinhvuhoang8686,Trinh Vu,Hoang,Nam,1712043,18,11,1999,928778686
vongocthanhphuong,vongocthanhphuong4871,Vo Ngoc Thanh,Phuong,Nu,1712197,10,16,1999,870754871
nguyenvanthanh,nguyenvanthanh4425,Nguyen Van,Thanh,Nam,1712222,5,29,1999,513464425
nguyenthihoangmi,nguyenthihoangmi3373,Nguyen Thi Hoang,Mi,Nu,1712309,8,9,1999,782773373
nguyenminhvuong,nguyenminhvuong4827,Nguyen Minh,Vuong,Nam,1712866,6,2,1999,420284827
phanminhson,phanminhson8067,Phan Minh,Son,Nam,1712888,12,24,1999,235858067
trandangnhattan,trandangnhattan4312,Tran Dang Nhat,Tan,Nam,1712889,12,26,1999,912934312
tranmanhthang,tranmanhthang4851,Tran Manh,Thang,Nam,1712892,8,21,1999,664564851
buithithanhtruc,buithithanhtruc5404,Bui Thi Thanh,Truc,Nu,1712897,26,6,1999,501835404
tranduchuy,tranduchuy4573,Tran Duc,Huy,Nam,1712052,29,11,1999,706844573
phanbaominh,phanbaominh6514,Phan Bao,Minh,Nam,1712092,25,11,1999,542176514
nguyenphuckhoinguyen,nguyenphuckhoinguyen7092,Nguyen Phuc Khoi,Nguyen,Nam,1712106,19,5,1999,657607092
leminhnhat,leminhnhat9216,Le Minh,Nhat,Nam,1712114,6,12,1999,639889216
phamdonhattan,phamdonhattan5107,Pham Do Nhat,Tan,Nam,1712150,11,4,1999,940225107
buiphantho,buiphantho8587,Bui Phan,Tho,Nam,1712169,6,1,1999,953928587
lequangvu,lequangvu6520,Le Quang,Vu,Nam,1712209,30,7,1999,734316520
lamthanhloc,lamthanhloc9421,Lam Thanh,Loc,Nam,1712227,2,5,1999,739369421
lehoangvu,lehoangvu0168,Le Hoang,Vu,Nam,1712250,11,7,1999,705490168
phandanghoaibao,phandanghoaibao2064,Phan Dang Hoai,Bao,Nam,1712288,8,7,1999,832322064
hoangduccong,hoangduccong1286,Hoang Duc,Cong,Nam,1712304,8,5,1999,509171286
huynhquocdung,huynhquocdung9408,Huynh Quoc,Dung,Nam,1712366,1,11,1999,894009408
nguyenngocduy,nguyenngocduy6077,Nguyen Ngoc,Duy,Nam,1712385,28,6,1999,442156077
nguyenquangduy,nguyenquangduy7904,Nguyen Quang,Duy,Nam,1712389,9,8,1999,805787904
nguyenngockyduyen,nguyenngockyduyen7381,Nguyen Ngoc Ky,Duyen,Nu,1712397,14,6,1999,633447381
phangiahao,phangiahao4082,Phan Gia,Hao,Nam,1712420,26,7,1999,609604082
trantuhao,trantuhao1430,Tran Tu,Hao,Nam,1712421,7,4,1999,222381430
trandinhtonhieu,trandinhtonhieu1118,Tran Dinh Ton,Hieu,Nam,1712441,25,12,1999,126261118
thiquochung,thiquochung0588,Thi Quoc,Hung,Nam,1712474,27,7,1999,241660588
caonhonhung,caonhonhung7540,Cao Nhon,Hung,Nam,1712475,21,5,1999,652797540
nguyendonghung,nguyendonghung6665,Nguyen Dong,Hung,Nam,1712481,2,10,1999,151286665
tranquangkhai,tranquangkhai7517,Tran Quang,Khai,Nam,1712514,4,3,1999,443057517
kytuankhang,kytuankhang5538,Ky Tuan,Khang,Nam,1712516,2,9,1999,808805538
huynhtrananhkiet,huynhtrananhkiet1390,Huynh Tran Anh,Kiet,Nam,1712543,14,4,1999,904901390
nguyenminhquan,nguyenminhquan0009,Nguyen Minh,Quan,Nam,1712694,9,6,1999,356710009
nguyenhaquang,nguyenhaquang5127,Nguyen Ha,Quang,Nam,1712702,23,11,1999,463805127
nguyenphuocquang,nguyenphuocquang7487,Nguyen Phuoc,Quang,Nam,1712704,14,4,1999,139577487
phamngocson,phamngocson9645,Pham Ngoc,Son,Nam,1712731,16,8,1999,382129645
nguyenminhtam,nguyenminhtam0744,Nguyen Minh,Tam,Nam,1712746,31,5,1999,962870744
nguyenngocbangtam,nguyenngocbangtam6734,Nguyen Ngoc Bang,Tam,Nu,1712747,7,5,1999,738536734
buithianhthu,buithianhthu8727,Bui Thi Anh,Thu,Nu,1712803,26,8,1999,856318727
nguyenquytoan,nguyenquytoan1775,Nguyen Quy,Toan,Nam,1712823,21,11,1999,880311775
ngonhatrang,ngonhatrang0004,Ngo Nha,Trang,Nu,1712830,7,11,1999,110740004
truongkhactrieu,truongkhactrieu8919,Truong Khac,Trieu,Nam,1712838,10,1,1999,582178919
huynhluongphuongtruc,huynhluongphuongtruc9270,Huynh Luong Phuong,Truc,Nu,1712842,4,9,1999,859529270
phamquoctrung,phamquoctrung9159,Pham Quoc,Trung,Nam,1712848,1,9,1999,229779159
huynhvantu,huynhvantu0495,Huynh Van,Tu,Nam,1712856,20,10,1999,454330495
lieucapcattuong,lieucapcattuong8665,Lieu Cap Cat,Tuong,Nu,1712886,5,7,1999,226378665
ngacbaonam,ngacbaonam2382,Ngac Bao,Nam,Nam,1712085,3,9,1999,143672382
ladieuquyen,ladieuquyen6971,La Dieu,Quyen,Nu,1712283,9,11,1999,752956971
